tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-06 00:00:00,2021-09-30 00:00:00,2086,CAPITAL FEDERAL Nº 086,Ciudad Autónoma de Bs.As.,Nacional,2086,94,TRACTOR C/ CABINA DORMITORIO,2086,IVECO,2086,170E28TLM21,2086,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2086,No aplica,2086,2086,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-07 00:00:00,2012-10-25 00:00:00,10005,LIB.GRAL.SAN MARTIN,Jujuy,Protocolo 21,10005,92,TRACTOR C/CABINA DOR,10005,VOLVO,10005,FM 370 4X2 T,10005,Privado,Física,CALILEGUA,JUJUY,Masculino,10005,ARGENTINA,10005,10005,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-06 00:00:00,2011-06-30 00:00:00,1290,LA MATANZA Nº 13,Buenos Aires,Protocolo 21,1290,92,TRACTOR C/CABINA DORMITORIO,1290,MERCEDES BENZ,1290,LS-1634,1290,Privado,Jurídica,VILLA LUZURIAGA,BUENOS AIRES,No aplica,1290,No aplica,1290,1290,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-27 00:00:00,2019-10-31 00:00:00,1256,TRES DE FEBRERO Nº 6,Buenos Aires,Protocolo 21,1256,92,TRACTOR C/CABINA DORMITORIO,1256,FORD,1256,CARGO 1723 4X2 - CD MT 37,1256,Privado,Jurídica,PABLO PODESTÁ,BUENOS AIRES,No aplica,1256,No aplica,1256,1256,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-10 00:00:00,2019-06-14 00:00:00,7014,COMODORO RIVADAVIA Nº 6,Chubut,Nacional,7014,91,MIDIBUS,7014,MERCEDES BENZ,7014,SPRINTER 515 CDI-C 4325 TE,7014,Privado,Jurídica,COMODORO RIVADAVIA,CHUBUT,No aplica,7014,No aplica,7014,7014,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-05 00:00:00,2009-07-13 00:00:00,1106,LA MATANZA Nº 02,Buenos Aires,Nacional,1106,90,MINIBUS,1106,MERCEDES BENZ,1106,SPRINTER 413 CDI/C 4025,1106,Privado,Física,SAN JUSTO,BUENOS AIRES,Femenino,1106,ARGENTINA,1106,1106,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-17 00:00:00,2010-06-23 00:00:00,2041,CAPITAL FEDERAL Nº 041,Ciudad Autónoma de Bs.As.,Nacional,2041,90,MINIBUS,2041,MERCEDES BENZ,2041,SPRINTER 413 CDI/C 4025,2041,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2041,No aplica,2041,2041,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-21 00:00:00,2006-02-10 00:00:00,1154,LA MATANZA Nº 06,Buenos Aires,Nacional,1154,90,MINIBUS,1154,MERCEDES BENZ,1154,SPRINTER 313 CDI/C 3550,1154,Privado,Física,VILLA LUZURIAGA,BUENOS AIRES,Masculino,1154,ARGENTINA,1154,1154,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-31 00:00:00,2012-12-04 00:00:00,1305,HURLINGHAM Nº 3,Buenos Aires,Nacional,1305,90,MINIBUS,1305,MERCEDES BENZ,1305,SPRINTER 415 CDI /C 3665,1305,Privado,Física,VILLA TESEI,BUENOS AIRES,Femenino,1305,ARGENTINA,1305,1305,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-05 00:00:00,2010-03-01 00:00:00,1227,LA MATANZA Nº 10,Buenos Aires,Nacional,1227,90,MINIBUS,1227,MERCEDES BENZ,1227,SPRINTER 413 CDI/C 4025,1227,Privado,Física,GREGORIO DE LAFERRERE,BUENOS AIRES,Masculino,1227,ARGENTINA,1227,1227,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-17 00:00:00,2021-01-06 00:00:00,23006,TUCUMAN Nº 5,Tucumán,Protocolo 21,23006,82,PICK-UP CABINA DOBLE,23006,VOLKSWAGEN,23006,SAVEIRO DC 1.6 CONFORTLINE MQ 101 CV,23006,Privado,Física,SAN MIGUEL DE TUCUMÁN,TUCUMAN,Femenino,23006,ARGENTINA,23006,23006,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-18 00:00:00,2012-12-04 00:00:00,1158,TRES DE FEBRERO Nº 3,Buenos Aires,Protocolo 21,1158,82,PICK-UP CABINA DOBLE,1158,FIAT,1158,STRADA ADVENTURE 1.6,1158,Privado,Física,CIUDADELA,BUENOS AIRES,No identificado,1158,ARGENTINA,1158,1158,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-03 00:00:00,2012-04-11 00:00:00,13018,MENDOZA Nº 11,Mendoza,Protocolo 21,13018,82,PICK-UP CABINA DOBLE,13018,CHEVROLET,13018,S10 2.8TDI STD 4X2 ELECTRONIC,13018,Privado,Física,BUENA NUEVA,MENDOZA,Masculino,13018,ARGENTINA,13018,13018,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-14 00:00:00,2013-01-24 00:00:00,1171,ESCOBAR Nº 1,Buenos Aires,Protocolo 21,1171,82,PICK-UP CABINA DOBLE,1171,CHEVROLET,1171,S10 2.8TD 4X2 LS,1171,Privado,Física,GARIN,BUENOS AIRES,No identificado,1171,ARGENTINA,1171,1171,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-05 00:00:00,2014-09-05 00:00:00,19009,SAN LUIS Nº 4,San Luis,Protocolo 21,19009,82,PICK-UP CABINA DOBLE,19009,CHEVROLET,19009,S10 2.8TD 4X4 LS,19009,Privado,Física,POTRERO DE LOS FUNES,SAN LUIS,No identificado,19009,ARGENTINA,19009,19009,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-21 00:00:00,2017-01-27 00:00:00,13022,GENERAL SAN MARTIN Nº 3,Mendoza,Protocolo 21,13022,82,PICK-UP CABINA DOBLE,13022,CHEVROLET,13022,S10 2.8TD 4X2 LS,13022,Privado,Física,PALMIRA,MENDOZA,Masculino,13022,ARGENTINA,13022,13022,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-07 00:00:00,2017-07-28 00:00:00,4008,CORDOBA Nº 04,Córdoba,Protocolo 21,4008,82,PICK-UP CABINA DOBLE,4008,CHEVROLET,4008,S10 2.8TD 4X2 LS,4008,Privado,Física,CORDOBA,CORDOBA,Masculino,4008,ARGENTINA,4008,4008,ARG
